CRN,Subject,Title,Hours,Instructor,Days,Start Time,End Time,Location,Seats Available
11728,ACCT 3330 B,Income Tax,3,"Stuart, Gloria",TR,12:30 PM,1:45 PM,T,
11680,ACCT 2101 D,Principles of Accounting I,3,"Sneathen, Lowell",MWF,9:05 AM,9:55 AM,T,
11704,ACCT 2102 H,Principles of Accounting II,3,"Olliff, Edie",MWF,1:25 PM,2:15 PM,T,
11694,ACCT 2102 C,Principles of Accounting II,3,"Buckhoff, Thomas",TR,9:30 AM,10:45 AM,T,
11726,ACCT 3132 B,Intermediate Accounting II,3,"Scheetz, Andrea",TR,2:00 PM,3:15 PM,T,
11729,ACCT 4030 A,VITA,3,"Stuart, Gloria",MW,5:30 PM,6:45 PM,T,
11724,ACCT 3131 B,Intermediate Accounting I,3,"Sneathen, Lowell",MWF,12:20 PM,1:10 PM,T,
11681,ACCT 2101 E,Principles of Accounting I,3,"Stuart, Gloria",TR,8:00 AM,9:15 AM,T,
11725,ACCT 3132 A,Intermediate Accounting II,3,"Scheetz, Andrea",TR,12:30 PM,1:45 PM,T,
11730,ACCT 4130 A,Accounting Info Systems,3,"Du Pon, Adam",TR,8:00 AM,9:15 AM,T,
11737,ACCT 4633 A,Forensic Interviews,3,"Staff, Unknown",TR,9:30 AM,10:45 AM,T,
11702,ACCT 2102 F,Principles of Accounting II,3,"Henderson, Ann",MWF,9:05 AM,9:55 AM,T,
11731,ACCT 4133 A,Intermediate Accounting III,3,"Lamboy Ruiz, Melvin",TR,9:30 AM,10:45 AM,T,
11733,ACCT 4231 A,Advanced Management Accounting,3,"Du Pon, Adam",TR,3:30 PM,4:45 PM,T,
11700,ACCT 2102 D,Principles of Accounting II,3,"Buckhoff, Thomas",TR,11:00 AM,12:15 PM,T,
11745,ACCT 7131 B,Estate Tax,3,"Dowis, William",TR,12:30 PM,1:45 PM,T,
11703,ACCT 2102 G,Honors Principles of Acct I,3,"Henderson, Ann",MWF,9:05 AM,9:55 AM,T,
11689,ACCT 2102 A,Principles of Accounting II,3,"Harter, Charles",TR,9:30 AM,10:45 AM,T,
11677,ACCT 2101 A,Principles of Accounting I,3,"Olliff, Edie",MWF,8:00 AM,8:50 AM,T,
11735,ACCT 4430 B,Auditing,3,"Tipton, Colin",TR,12:30 PM,1:45 PM,T,
11734,ACCT 4430 A,Auditing,3,"Tipton, Colin",TR,11:00 AM,12:15 PM,T,
11692,ACCT 2102 B,Principles of Accounting II,3,"Olliff, Edie",MWF,10:10 AM,11:00 AM,T,
